Date,Narration,ValueDate,DebitAmount,CreditAmount,ChqNumber,ClosingBalance
09-02-2023,NEFT Transfer,09-02-2023,0,65.52,2.86E+15,89.19
09-02-2023,Online Shopping,09-02-2023,0,24.8,3.28E+15,113.99
08-02-2023,NEFT Transfer,08-02-2023,52.25,0,4.93E+15,61.74
12-02-2023,IMPS Transfer,12-02-2023,64.92,0,1.15E+15,-3.18
19-02-2023,IMPS Transfer,19-02-2023,0,56.86,6.75E+15,53.68
17-02-2023,GST Payment,17-02-2023,0,71.51,1.22E+15,125.19
09-02-2023,SALARY PROVAB TECHNOSOFT PVT LTD,09-02-2023,0,86.33,9.69E+15,211.52
25-02-2023,NEFT Transfer,25-02-2023,13.42,0,5.59E+15,198.1
03-02-2023,Misc. Debit,03-02-2023,93.7,0,6.59E+15,104.4
04-02-2023,Utility Bill,04-02-2023,0,43.4,8.58E+15,147.8
09-02-2023,CHQ PAID-MICR CTS,09-02-2023,0,62.94,4.02E+15,210.74
14-02-2023,Online Shopping,14-02-2023,0,55.15,4.02E+15,265.89
03-02-2023,NEFT Transfer,03-02-2023,0,81.36,5.54E+15,347.25
16-02-2023,NEFT Transfer,16-02-2023,37.09,0,5.74E+15,310.16
26-02-2023,Utility Bill,26-02-2023,0,31.21,7.97E+15,341.37
15-02-2023,IMPS Transfer,15-02-2023,49.98,0,4.28E+15,291.39
07-02-2023,CHQ PAID-MICR CTS,07-02-2023,0,87.53,4.29E+15,378.92
15-02-2023,Online Shopping,15-02-2023,79.7,0,6.41E+15,299.22
15-02-2023,Utility Bill,15-02-2023,33.26,0,8.84E+15,265.96
01-02-2023,SALARY PROVAB TECHNOSOFT PVT LTD,01-02-2023,73.89,0,6.39E+15,192.07
28-02-2023,ATM Withdrawal,28-02-2023,15.53,0,9.56E+15,176.54
07-02-2023,Utility Bill,07-02-2023,0,77.3,2.45E+15,253.84
12-02-2023,CHQ PAID-MICR CTS,12-02-2023,0,73.64,8.81E+15,327.48
25-02-2023,ATM Withdrawal,25-02-2023,38.45,0,3.14E+15,289.03
15-02-2023,IMPS Transfer,15-02-2023,26.75,0,7.81E+15,262.28
19-02-2023,IMPS Transfer,19-02-2023,35.12,0,8.68E+15,227.16
12-02-2023,ATM Withdrawal,12-02-2023,39.69,0,4.84E+15,187.47
19-02-2023,CHQ PAID-MICR CTS,19-02-2023,0,96.38,1.36E+15,283.85
11-02-2023,NEFT Transfer,11-02-2023,0,71.48,4.31E+15,355.33
14-02-2023,CHQ PAID-MICR CTS,14-02-2023,93.94,0,1.16E+15,261.39
27-02-2023,GST Payment,27-02-2023,0,43.05,7.06E+15,304.44
22-02-2023,Online Shopping,22-02-2023,0,36,1.10E+15,340.44
12-02-2023,Misc. Debit,12-02-2023,43.92,0,7.69E+15,296.52
04-02-2023,EMI Payment,04-02-2023,14.59,0,6.32E+15,281.93
01-02-2023,GST Payment,01-02-2023,0,46.23,5.73E+15,328.16
03-02-2023,GST Payment,03-02-2023,88.41,0,9.78E+15,239.75
13-02-2023,ATM Withdrawal,13-02-2023,75.7,0,6.53E+15,164.05
06-02-2023,ATM Withdrawal,06-02-2023,0,33.45,3.66E+15,197.5
18-02-2023,EMI Payment,18-02-2023,0,49.4,3.54E+15,246.9
11-02-2023,Utility Bill,11-02-2023,61.94,0,7.42E+15,184.96
05-02-2023,Online Shopping,05-02-2023,22,0,1.27E+15,162.96
27-02-2023,GST Payment,27-02-2023,73.68,0,2.28E+15,89.28
07-02-2023,IMPS Transfer,07-02-2023,0,90.61,9.14E+15,179.89
01-02-2023,Misc. Debit,01-02-2023,0,39.9,3.50E+15,219.79
12-02-2023,Utility Bill,12-02-2023,0,36.03,5.61E+15,255.82
21-02-2023,Online Shopping,21-02-2023,0,54.63,2.81E+15,310.45
11-02-2023,SALARY PROVAB TECHNOSOFT PVT LTD,11-02-2023,0,55.98,9.31E+15,366.43
23-02-2023,Utility Bill,23-02-2023,0,50.01,9.13E+15,416.44
19-02-2023,Online Shopping,19-02-2023,24.11,0,4.21E+15,392.33
28-02-2023,GST Payment,28-02-2023,0,13.97,1.49E+15,406.3
