Date,Narration,Value Date,Debit Amount,Credit Amount,Chq/Ref Number,Closing Balance
09/02/23,NEFT Transfer,09/02/23,0.00,65.52,2855416546796147,89.19
09/02/23,Online Shopping,09/02/23,0.00,24.80,3284944809053560,113.99
08/02/23,NEFT Transfer,08/02/23,52.25,0.00,4930146128215620,61.74
12/02/23,IMPS Transfer,12/02/23,64.92,0.00,1153069314123348,-3.18
19/02/23,IMPS Transfer,19/02/23,0.00,56.86,6747695820450318,53.68
17/02/23,GST Payment,17/02/23,0.00,71.51,1222490342422606,125.19
09/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,09/02/23,0.00,86.33,9694360738072003,211.52
25/02/23,NEFT Transfer,25/02/23,13.42,0.00,5586963249931160,198.10
03/02/23,Misc. Debit,03/02/23,93.70,0.00,6591649985301632,104.40
04/02/23,Utility Bill,04/02/23,0.00,43.40,8584740949600963,147.80
09/02/23,CHQ PAID-MICR CTS,09/02/23,0.00,62.94,4023713710005035,210.74
14/02/23,Online Shopping,14/02/23,0.00,55.15,4019702977153608,265.89
03/02/23,NEFT Transfer,03/02/23,0.00,81.36,5536934755887992,347.25
16/02/23,NEFT Transfer,16/02/23,37.09,0.00,5736700551402287,310.16
26/02/23,Utility Bill,26/02/23,0.00,31.21,7966939776220848,341.37
15/02/23,IMPS Transfer,15/02/23,49.98,0.00,4275686771782325,291.39
07/02/23,CHQ PAID-MICR CTS,07/02/23,0.00,87.53,4293220036293461,378.92
15/02/23,Online Shopping,15/02/23,79.70,0.00,6408942542396401,299.22
15/02/23,Utility Bill,15/02/23,33.26,0.00,8835690012830424,265.96
01/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,01/02/23,73.89,0.00,6387505698360695,192.07
28/02/23,ATM Withdrawal,28/02/23,15.53,0.00,9563765201269487,176.54
07/02/23,Utility Bill,07/02/23,0.00,77.30,2448691442013024,253.84
12/02/23,CHQ PAID-MICR CTS,12/02/23,0.00,73.64,8805811760121499,327.48
25/02/23,ATM Withdrawal,25/02/23,38.45,0.00,3138715237965271,289.03
15/02/23,IMPS Transfer,15/02/23,26.75,0.00,7814507320117584,262.28
19/02/23,IMPS Transfer,19/02/23,35.12,0.00,8680818087446764,227.16
12/02/23,ATM Withdrawal,12/02/23,39.69,0.00,4838117251537377,187.47
19/02/23,CHQ PAID-MICR CTS,19/02/23,0.00,96.38,1355942670364434,283.85
11/02/23,NEFT Transfer,11/02/23,0.00,71.48,4311992543043029,355.33
14/02/23,CHQ PAID-MICR CTS,14/02/23,93.94,0.00,1156295320148230,261.39
27/02/23,GST Payment,27/02/23,0.00,43.05,7060833455381081,304.44
22/02/23,Online Shopping,22/02/23,0.00,36.00,1096153676651597,340.44
12/02/23,Misc. Debit,12/02/23,43.92,0.00,7685859827641850,296.52
04/02/23,EMI Payment,04/02/23,14.59,0.00,6323662887304843,281.93
01/02/23,GST Payment,01/02/23,0.00,46.23,5732140262506080,328.16
03/02/23,GST Payment,03/02/23,88.41,0.00,9775170382774619,239.75
13/02/23,ATM Withdrawal,13/02/23,75.70,0.00,6525873281086460,164.05
06/02/23,ATM Withdrawal,06/02/23,0.00,33.45,3662996148782918,197.50
18/02/23,EMI Payment,18/02/23,0.00,49.40,3542364122423239,246.90
11/02/23,Utility Bill,11/02/23,61.94,0.00,7419489101313786,184.96
05/02/23,Online Shopping,05/02/23,22.00,0.00,1266632720018414,162.96
27/02/23,GST Payment,27/02/23,73.68,0.00,2277133271368503,89.28
07/02/23,IMPS Transfer,07/02/23,0.00,90.61,9138460143417682,179.89
01/02/23,Misc. Debit,01/02/23,0.00,39.90,3500397630962942,219.79
12/02/23,Utility Bill,12/02/23,0.00,36.03,5611368766272109,255.82
